epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,2543.64,1.58605,1.03862,0.0036,0.61545,0.51254,0.48424,0.2457,1.56755,1.57083,0.0044,0.0036635,0.0036635,0.0036635
137,2561.98,1.4705,0.93058,0.00325,0.61143,0.53106,0.50086,0.25035,1.63469,1.39683,0.00467,0.0036536,0.0036536,0.0036536
138,2581.46,1.52915,0.92478,0.0032,0.64407,0.54154,0.51728,0.27013,1.59801,1.46973,0.00464,0.0036437,0.0036437,0.0036437
139,2599.8,1.51362,0.85791,0.00329,0.64063,0.49281,0.50038,0.25439,1.54393,1.39005,0.00435,0.0036338,0.0036338,0.0036338
140,2618.09,1.51398,0.87648,0.00336,0.63803,0.46311,0.47212,0.25685,1.5711,1.39867,0.00432,0.0036239,0.0036239,0.0036239
141,2636.52,1.47845,0.94227,0.0034,0.66176,0.51911,0.52214,0.29409,1.53842,1.40176,0.00428,0.003614,0.003614,0.003614
142,2654.72,1.54225,0.99125,0.00359,0.60712,0.5736,0.53897,0.27158,1.612,1.58757,0.00443,0.0036041,0.0036041,0.0036041
143,2674.23,1.54808,0.98487,0.00329,0.55643,0.54051,0.49822,0.28779,1.53945,1.59882,0.00444,0.0035942,0.0035942,0.0035942
144,2692.99,1.46255,0.95962,0.0033,0.66837,0.46528,0.51869,0.30498,1.49929,1.4277,0.00421,0.0035843,0.0035843,0.0035843
145,2711.36,1.48364,0.93076,0.00318,0.50554,0.59279,0.54213,0.29638,1.54859,1.45494,0.00438,0.0035744,0.0035744,0.0035744
146,2729.79,1.49754,0.96643,0.00331,0.64165,0.50637,0.51043,0.26691,1.67526,1.43427,0.00495,0.0035645,0.0035645,0.0035645
147,2747.88,1.3956,0.83098,0.0032,0.65543,0.57137,0.56731,0.31138,1.52939,1.48741,0.00433,0.0035546,0.0035546,0.0035546
148,2767.4,1.47909,0.96845,0.00337,0.55717,0.50798,0.47087,0.27652,1.51758,1.43148,0.00431,0.0035447,0.0035447,0.0035447
